postcode,latitude,longitude,name,state_id
93445,35.106168,-120.611142,Oceano,CA
93446,35.640598,-120.700313,Paso Robles,CA
93447,35.75624,-120.693505,Paso Robles,CA
93448,35.347065,-120.455345,Pismo Beach,CA
93449,35.391719,-120.549178,Pismo Beach,CA
93450,35.982551,-120.828342,San Ardo,CA
93451,35.705546,-120.646803,San Miguel,CA
93452,35.575711,-120.888038,San Simeon,CA
93453,35.358427,-120.259602,Santa Margarita,CA
93454,34.875832,-120.340795,Santa Maria,CA
93455,34.883589,-120.377957,Santa Maria,CA
93456,35.027682,-120.196818,Santa Maria,CA
93457,34.836252,-120.534210,Santa Maria,CA
93458,34.953532,-120.495723,Santa Maria,CA
93460,34.646136,-120.091629,Santa Ynez,CA
93461,35.610073,-120.291994,Shandon,CA
93463,34.648841,-120.170111,Solvang,CA
93464,34.674436,-120.111465,Solvang,CA
93465,35.517781,-120.653850,Templeton,CA
93483,35.347065,-120.455345,Grover Beach,CA
93501,35.038066,-118.315960,Mojave,CA
93502,35.068161,-118.224785,Mojave,CA
93504,35.187133,-117.885359,California City,CA
93505,35.144767,-117.897202,California City,CA
93510,33.786594,-118.298662,Acton,CA
93512,37.496842,-118.624903,Benton,CA
93513,37.169602,-118.294915,Big Pine,CA
93514,37.026022,-118.334393,Bishop,CA
93515,36.626033,-117.218616,Bishop,CA
93516,35.215513,-118.056018,Boron,CA
93517,38.248505,-119.198760,Bridgeport,CA
93518,35.488054,-118.609553,Caliente,CA
93519,35.177369,-118.035049,Cantil,CA
93522,36.626033,-117.218616,Darwin,CA
93523,35.258171,-118.130233,Edwards,CA
93524,35.294405,-118.905173,Edwards,CA
93526,36.831167,-118.235097,Independence,CA
93527,35.639715,-117.857026,Inyokern,CA
93528,35.370839,-117.642748,Johannesburg,CA
93529,37.711282,-119.054711,June Lake,CA
93530,36.488612,-117.874104,Keeler,CA
93531,35.226499,-118.581032,Keene,CA
93532,33.786594,-118.298662,Lake Hughes,CA
93534,33.786594,-118.298662,Lancaster,CA
93535,33.786594,-118.298662,Lancaster,CA
93536,33.786594,-118.298662,Lancaster,CA
93539,33.786594,-118.298662,Lancaster,CA
93541,37.97823,-119.130361,Lee Vining,CA
93542,36.626033,-117.218616,Little Lake,CA
93543,33.786594,-118.298662,Littlerock,CA
93544,33.786594,-118.298662,Llano,CA
93545,36.553842,-117.984465,Lone Pine,CA
