postcode,latitude,longitude,name,state_id
00501,40.922326,-72.637078,Holtsville,NY
00544,40.922326,-72.637078,Holtsville,NY
01001,42.140549,-72.788661,Agawam,MA
01002,42.367092,-72.464571,Amherst,MA
01003,42.369562,-72.63599,Amherst,MA
01004,42.384494,-72.513183,Amherst,MA
01005,42.32916,-72.139465,Barre,MA
01007,42.280267,-72.402056,Belchertown,MA
01008,42.177833,-72.958359,Blandford,MA
01009,42.206092,-72.340486,Bondsville,MA
01010,42.108585,-72.20448,Brimfield,MA
01011,42.294259,-72.952776,Chester,MA
01012,42.392274,-72.825607,Chesterfield,MA
01013,42.161492,-72.667341,Chicopee,MA
01014,42.170731,-72.604842,Chicopee,MA
01020,42.177492,-72.562563,Chicopee,MA
01021,42.170731,-72.604842,Chicopee,MA
01022,42.193392,-72.55436,Chicopee,MA
01026,42.428617,-72.909841,Cummington,MA
01027,42.368303,-72.768839,Easthampton,MA
01028,42.062009,-72.49874,East Longmeadow,MA
01029,42.190904,-73.051661,East Otis,MA
01030,42.189335,-72.79774,Feeding Hills,MA
01031,42.352554,-72.205724,Gilbertville,MA
01032,42.443837,-72.819446,Goshen,MA
01033,42.262285,-72.504086,Granby,MA
01034,42.112748,-72.952003,Granville,MA
01035,42.356804,-72.576613,Hadley,MA
01036,42.067614,-72.417507,Hampden,MA
01037,42.347856,-72.225251,Hardwick,MA
01038,42.387269,-72.643081,Hatfield,MA
01039,42.35641,-72.682127,Haydenville,MA
01040,42.198291,-72.64207,Holyoke,MA
01041,42.170731,-72.604842,Holyoke,MA
01050,42.313427,-72.903677,Huntington,MA
01053,42.353838,-72.704385,Leeds,MA
01054,42.474681,-72.467543,Leverett,MA
01056,42.173276,-72.627038,Ludlow,MA
01057,42.095323,-72.282063,Monson,MA
01059,42.369562,-72.63599,North Amherst,MA
01060,42.415154,-72.76927,Northampton,MA
01061,42.369562,-72.63599,Northampton,MA
01062,42.328838,-72.845227,Florence,MA
01063,42.317939,-72.640234,Northampton,MA
01066,42.406697,-72.633901,North Hatfield,MA
01068,42.346144,-72.058847,Oakham,MA
01069,42.176131,-72.31457,Palmer,MA
01070,42.448984,-72.958397,Plainfield,MA
01071,42.177432,-72.864558,Russell,MA
01072,42.471562,-72.44017,Shutesbury,MA
01073,42.230008,-72.728463,Southampton,MA
01074,42.375998,-72.149388,South Barre,MA
01075,42.24984,-72.58152,South Hadley,MA
01077,42.066644,-72.541205,Southwick,MA
01079,42.192892,-72.329574,Thorndike,MA
01080,42.179805,-72.517813,Three Rivers,MA
01081,42.061948,-72.213598,Wales,MA
01082,42.377471,-72.548549,Ware,MA
01083,42.204027,-72.199439,Warren,MA
01084,42.390303,-72.870857,West Chesterfield,MA
01085,42.14869,-72.501887,Westfield,MA
01086,42.173428,-72.847964,Westfield,MA
01088,42.390583,-72.646894,West Hatfield,MA
01089,42.125793,-72.645334,West Springfield,MA
01090,42.170731,-72.604842,West Springfield,MA
01092,42.202887,-72.229025,West Warren,MA
01093,42.442673,-72.652511,Whately,MA
01094,42.358201,-72.140846,Wheelwright,MA
01095,42.125974,-72.489988,Wilbraham,MA
01096,42.413069,-72.821653,Williamsburg,MA
01097,42.161743,-72.845912,Woronoco,MA
01098,42.40494,-72.896133,Worthington,MA
01101,42.170731,-72.604842,Springfield,MA
01102,42.170731,-72.604842,Springfield,MA
01103,42.103044,-72.590783,Springfield,MA
01104,42.128605,-72.567966,Springfield,MA
01105,42.099793,-72.577732,Springfield,MA
01106,42.049194,-72.567882,Longmeadow,MA
01107,42.126237,-72.586733,Springfield,MA
01108,42.080594,-72.558081,Springfield,MA
01109,42.119293,-72.548981,Springfield,MA
01111,42.170731,-72.604842,Springfield,MA
01114,42.170731,-72.604842,Springfield,MA
01115,42.102894,-72.591633,Springfield,MA
01116,42.170731,-72.604842,Longmeadow,MA
01118,42.093894,-72.523227,Springfield,MA
01119,42.124943,-72.526705,Springfield,MA
01128,42.094616,-72.487229,Springfield,MA
01129,42.124485,-72.489479,Springfield,MA
01133,42.170731,-72.604842,Springfield,MA
01138,42.170731,-72.604842,Springfield,MA
01139,42.170731,-72.604842,Springfield,MA
01144,42.101796,-72.59151,Springfield,MA
01151,42.150593,-72.51278,Indian Orchard,MA
01152,42.170731,-72.604842,Springfield,MA
01199,42.119943,-72.604983,Springfield,MA
01201,42.479475,-73.24807,Pittsfield,MA
01202,42.3929,-73.228483,Pittsfield,MA
01203,42.3929,-73.228483,Pittsfield,MA
01220,42.385595,-73.172166,Adams,MA
